Total words: 114029
word: mad frequency: 13
word: raise frequency: 13
word:  do frequency: 13
word: since frequency: 13
word: track frequency: 13
word: stranger frequency: 13
word:  my frequency: 13
word: hot frequency: 13
word:  is frequency: 13
word: gold frequency: 13
word: tie frequency: 13
word: uneasy frequency: 13
word: learn frequency: 13
word: archive frequency: 13
word: copyright frequency: 13
word: opened frequency: 13
word:  i’m frequency: 13
word: cussing frequency: 13
word: flung frequency: 13
word: literary frequency: 13
word: gets frequency: 13
word: friends frequency: 13
word: missed frequency: 13
word: lovely frequency: 13
word: breath frequency: 13
word: short frequency: 13
word: alive frequency: 13
word: liked frequency: 13
word:  yes frequency: 13
word: sherburn frequency: 13
word: twenty frequency: 13
word: hunted frequency: 13
word: here” frequency: 13
word:  this frequency: 13
word: fine frequency: 13
word: law frequency: 13
word: paddled frequency: 13
word: “i’ll frequency: 13
word: ornery frequency: 13
word: tom” frequency: 13
word: weeks frequency: 13
word: wants frequency: 13
word: grindstone frequency: 13
word: didn’ frequency: 13
word: candles frequency: 13
word: kin frequency: 13
word: that” frequency: 13
word: dasn’t frequency: 13
word: pray frequency: 13
word: yo’ frequency: 13
word: remember frequency: 13
word: right” frequency: 12
word: dozen frequency: 12
word: sky frequency: 12
word: twice frequency: 12
word: logs frequency: 12
word: sah frequency: 12
word: gray frequency: 12
word: public frequency: 12
word: midnight frequency: 12
word: putting frequency: 12
word: jest frequency: 12
word: cool frequency: 12
word: thatcher frequency: 12
word: dream frequency: 12
word: nine frequency: 12
word: govment frequency: 12
word: picture frequency: 12
word: understand frequency: 12
word: listen frequency: 12
word: mother frequency: 12
word: cry frequency: 12
word: houses frequency: 12
word: property frequency: 12
word: un frequency: 12
word: o’clock frequency: 12
word: taking frequency: 12
word: dressed frequency: 12
word: dah frequency: 12
word: “if frequency: 12
word: drop frequency: 12
word: even frequency: 12
word: one” frequency: 12
word:  here frequency: 12
word: borrow frequency: 12
word: ef frequency: 12
word: school frequency: 12
word: funeral frequency: 12
word: save frequency: 12
word:   frequency: 12
word: whisky frequency: 12
word: fooling frequency: 12
word: sweet frequency: 12
word: kinder frequency: 12
word: “i’m frequency: 12
word: rip frequency: 12
word:  everybody frequency: 12
word: months frequency: 12
word: laugh frequency: 11
word: weather frequency: 11
word: child frequency: 11
word: ‘long frequency: 11
word: including frequency: 11
word: kitchen frequency: 11
word: looks frequency: 11
word: fifty frequency: 11
word: pull frequency: 11
word: honest frequency: 11
word: tearing frequency: 11
word: somewheres frequency: 11
word: buy frequency: 11
word: eight frequency: 11
word: hope frequency: 11
word: ourselves frequency: 11
word: fellow frequency: 11
word: pulled frequency: 11
word: yesterday frequency: 11
word: letters frequency: 11
word: general frequency: 11
word: stretched frequency: 11
word: lid frequency: 11
word: lady frequency: 11
word: nuther frequency: 11
word: generly frequency: 11
word: blame’ frequency: 11
word:  what’s frequency: 11
word: moon frequency: 11
word: tuck frequency: 11
word: questions frequency: 11
word: sing frequency: 11
word: copy frequency: 11
word: paragraph frequency: 11
word: wake frequency: 11
word: tracks frequency: 11
word: change frequency: 11
word: voice frequency: 11
word: witches frequency: 11
word: worry frequency: 11
word: fairly frequency: 11
word: hungry frequency: 11
word: fish frequency: 11
word: need frequency: 11
word: slept frequency: 11
word: fun frequency: 11
word: wrong frequency: 11
word: seven frequency: 11
word: bound frequency: 11
word: st frequency: 11
word: lights frequency: 11
word:  en frequency: 11
word: truth frequency: 11
word: watching frequency: 11
word: names frequency: 10
word: “hold frequency: 10
word: pictures frequency: 10
word: crawled frequency: 10
word: fellows frequency: 10
word: she’s frequency: 10
word: seeing frequency: 10
word: george frequency: 10
word: looky frequency: 10
word: boggs frequency: 10
word: united frequency: 10
word: sent frequency: 10
word: begged frequency: 10
word: overboard frequency: 10
word: paid frequency: 10
word: near frequency: 10
word: ther’ frequency: 10
word: key frequency: 10
word: rush frequency: 10
word: blanket frequency: 10
word: “a frequency: 10
word: wilks frequency: 10
word: pens frequency: 10
word: wisht frequency: 10
word: oars frequency: 10
word: early frequency: 10
word: ferryboat frequency: 10
word: ruther frequency: 10
word: cavern frequency: 10
word: forth frequency: 10
word: loud frequency: 10
word:  some frequency: 10
word: lightningrod frequency: 10
word: breast frequency: 10
word: whah frequency: 10
word: gracious frequency: 10
word: crossed frequency: 10
word: rob frequency: 10
word: now” frequency: 10
word: nonesuch frequency: 10
word:  how frequency: 10
word: owner frequency: 10
word: thirty frequency: 10
word: particular frequency: 10
word: troubles frequency: 10
word: tick frequency: 10
word: whatever frequency: 10
word: cave frequency: 10
word: afeard frequency: 10
word: so” frequency: 10
word: slide frequency: 10
word: touch frequency: 10
word: rock frequency: 10
word: rough frequency: 10
word: “no” frequency: 10
word: pan frequency: 10
word: dirt frequency: 10
word: small frequency: 10
word: beginning frequency: 10
word: true frequency: 10
word: air frequency: 10
word: shed frequency: 10
word: uncles frequency: 10
word: trademark frequency: 10
word: polly frequency: 10
word: tear frequency: 10
word: either frequency: 10
word: believed frequency: 10
word: speech frequency: 10
word: edge frequency: 10
word: laws frequency: 10
word: phelps frequency: 10
word: access frequency: 10
word: private frequency: 10
word: street frequency: 10
word: jist frequency: 10
word: rolled frequency: 10
word: ‘s frequency: 10
word: streak frequency: 10
word: solemn frequency: 10
word: circus frequency: 10
word: gentlemen frequency: 10
word: cellar frequency: 10
word: steps frequency: 10
word: is” frequency: 10
word: legs frequency: 10
word: pocket frequency: 9
